packageName,mainCategory,category,tests,sampleTypes,reportTime,isFastingRequired,fastingDuration,preparations,gender,ageGroup,tags,standardMRP,shortDescription,faqs,detailedDescription
Comprehensive Gold Full Body Checkup,Pathology,Full Body,CBC || Thyroid Profile || Lipid Profile || LFT || KFT,Blood || Urine,24 Hours,TRUE,10-12 hours,Do not eat || Wear loose clothes,Both,All,Best Seller || Premium,5000,Complete health checkup,Why needed?:Full body screening || Safe?:Yes,Benefits:Complete analysis || Who:Everyone
Basic Health Checkup,Pathology,Full Body,CBC || Blood Sugar || Urine Routine,Blood || Urine,24 Hours,FALSE,,No special prep,Both,All,Budget,999,Entry level health check,Who?:General users || Fasting?:No,Overview:Basic tests || Use:Routine check
Diabetes Care Package,Pathology,Diabetes,Blood Sugar || HbA1c || Urine Routine,Blood || Urine,24 Hours,TRUE,8-10 hours,No sugar intake,Both,All,Diabetes,1200,Monitor diabetes,Why?:Sugar control || Frequency?:Regular,Benefits:Track sugar || Who:Diabetic patients
Heart Health Package,Pathology,Heart,Lipid Profile || ECG || CRP,Blood || NA,24 Hours,TRUE,10 hours,Avoid fatty food,Both,30+,Heart Care,2000,Heart risk analysis,Why?:Heart risk || Age?:30+,Benefits:Heart check || Who:Adults
Thyroid Profile Package,Pathology,Hormonal,Thyroid Profile || TSH,Blood,24 Hours,FALSE,,No prep,Female,All,Women Care,800,Thyroid screening,Why?:Hormone balance || Symptoms?:Weight change,Benefits:Hormone check || Who:Women
Women Wellness Package,Pathology,Women,CBC || Iron || Calcium || Thyroid,Blood,24 Hours,FALSE,,No prep,Female,18+,Women Special,1800,Women's health check,Why?:Female health || Age?:18+,Benefits:Nutrient check || Who:Women
Men Health Package,Pathology,Men,CBC || PSA || Lipid Profile,Blood,24 Hours,TRUE,10 hours,No alcohol,Male,30+,Men Care,2200,Men's wellness,Why?:Men issues || Age?:30+,Benefits:Health check || Who:Men
Senior Citizen Package,Pathology,Full Body,CBC || KFT || LFT || Sugar,Blood || Urine,24 Hours,TRUE,10 hours,Light dinner,Both,50+,Senior Care,2500,Old age care,Why?:Age issues || Safe?:Yes,Benefits:Monitoring || Who:Elderly
Fever Panel,Pathology,Fever,CBC || Dengue || Malaria,Blood,24 Hours,FALSE,,No prep,Both,All,Fever,900,Fever diagnosis,Why?:Detect cause || Urgent?:Yes,Benefits:Quick check || Who:Fever patients
Allergy Package,Pathology,Allergy,IgE || CBC,Blood,24 Hours,FALSE,,No prep,Both,All,Allergy,1500,Allergy detection,Why?:Identify allergy || Skin?:Optional,Benefits:Detection || Who:Allergy patients
