testName,testCode,mainCategory,category,sampleType,pretestPreparation,standardMRP,parameters,faqs,detailedDescription
Complete Blood Count,CBC001,Pathology,General Health,Blood,No fasting required,300,Hemoglobin || WBC || RBC || Platelets,What is CBC?:It measures blood components || Why is it done?:To detect infections,Overview:Basic blood test || Usage:General health screening
Lipid Profile,LIP002,Pathology,Heart Health,Blood,8-10 hours fasting required,500,Cholesterol || HDL || LDL || Triglycerides,Why test?:Check heart risk || Fasting needed?:Yes,Overview:Measures fats || Usage:Heart disease risk
Liver Function Test,LFT003,Pathology,Liver,Blood,No special preparation,600,ALT || AST || Bilirubin || ALP,Why LFT?:Check liver health || Alcohol allowed?:Avoid before test,Overview:Liver enzymes || Usage:Detect liver damage
Kidney Function Test,KFT004,Pathology,Kidney,Blood,No special preparation,550,Creatinine || Urea || Uric Acid,Why KFT?:Check kidney health || Water intake?:Normal allowed,Overview:Kidney markers || Usage:Renal function check
Thyroid Profile,THY005,Pathology,Hormonal,Blood,No fasting required,700,T3 || T4 || TSH,Why test?:Check thyroid || Symptoms?:Weight change,Overview:Hormone levels || Usage:Thyroid disorders
Blood Sugar Fasting,BSF006,Pathology,Diabetes,Blood,8 hours fasting required,150,Glucose,Why fasting?:Accurate sugar level || Frequency?:Regular check,Overview:Sugar test || Usage:Diabetes screening
HbA1c,HBA007,Pathology,Diabetes,Blood,No fasting required,400,HbA1c,What is HbA1c?:3 month sugar avg || Needed?:Yes for diabetics,Overview:Long term sugar || Usage:Diabetes control
Urine Routine,URT008,Pathology,General Health,Urine,No special preparation,200,pH || Protein || Glucose || Ketones,Why test?:Detect infection || Sample?:Morning preferred,Overview:Urine test || Usage:UTI detection
Vitamin D Test,VD009,Pathology,Vitamins,Blood,No fasting required,900,Vitamin D,Why test?:Check deficiency || Sun exposure?:Helps levels,Overview:Vitamin check || Usage:Bone health
Vitamin B12,VB010,Pathology,Vitamins,Blood,No fasting required,850,Vitamin B12,Why test?:Check deficiency || Symptoms?:Weakness,Overview:Nerve health || Usage:B12 deficiency
Widal Test,WID011,Pathology,Fever,Blood,No special preparation,300,Salmonella Antigens,What is it?:Typhoid test || Accuracy?:Moderate,Overview:Infection test || Usage:Typhoid detection
Dengue NS1,DEN012,Pathology,Fever,Blood,No fasting required,600,NS1 Antigen,Why test?:Detect dengue early || Fever?:Yes symptom,Overview:Viral test || Usage:Dengue diagnosis
Malaria Test,MAL013,Pathology,Fever,Blood,No fasting required,250,Parasite Detection,Why test?:Detect malaria || Fever?:Yes,Overview:Parasitic test || Usage:Malaria detection
COVID-19 RT PCR,COV014,Pathology,Viral,Nasal Swab,No preparation,1200,RT-PCR,Why test?:Detect COVID || Time?:Few hours,Overview:Viral detection || Usage:COVID confirmation
Chest X-Ray,CXR015,Radiology,Lungs,NA,Remove metal objects,800,Imaging,Why test?:Check lungs || Radiation?:Minimal,Overview:Imaging test || Usage:Lung issues
